사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Jun-22,2호선,230,신림,253,10,38809,4518,73523,20593,188110,30954,281017,49302,169626,46475,91989,43405,77496,48286,80630,52755,76651,59538,69876,65741,69972,80150,77473,98718,80560,130701,82996,224968,55797,199987,47926,122279,44546,120509,40123,113573,20492,75909,3087,17134,6,188,0,0,0,0
Jun-22,2호선,231,신대방,167,5,25376,2192,35558,9541,87546,17896,129422,28044,77718,19981,44123,18042,35648,18980,35421,21176,33469,24506,28770,27694,28328,36552,30297,44363,33417,59387,34469,91043,21508,79376,16755,52504,13106,55542,10314,55048,4668,33011,710,6578,0,84,0,0,0,0
Jun-22,2호선,232,구로디지털단지,278,12,38470,5958,51489,21619,130025,84090,176420,245720,109393,142077,64244,55396,57332,43058,61975,45124,61548,54834,56172,54973,61201,62154,74789,74391,127207,100043,215829,156184,105231,123917,64495,77321,53987,79409,42782,79905,17804,50259,2771,10268,1,113,0,0,0,0
Jun-22,2호선,233,대림(구로구청),576,21,32974,3625,32010,11540,64990,23164,92099,54285,60924,33258,36392,29501,30846,30638,32718,29404,31292,31262,29719,31003,30394,38326,34458,46018,42518,58405,50857,68369,26638,52984,20292,36205,15423,46066,11506,45800,5377,22197,705,4613,0,152,0,0,0,0
Jun-22,2호선,234,신도림,3709,59,33177,5151,50290,22644,128913,40444,136081,105867,84997,60628,57394,60974,56603,60955,64320,62203,65368,65100,65191,62311,69790,69911,77755,81587,94587,107255,117794,167986,67401,118784,59539,69230,61938,67536,49178,66692,21215,56937,2364,20253,7,2132,0,0,0,0
Jun-22,2호선,235,문래,6,0,3938,2607,13399,14594,41083,34537,47142,117735,26183,58477,19544,27953,19704,23214,23447,23638,25172,25571,24306,23250,27364,24486,35728,28248,56035,36124,99932,54917,36717,39076,25270,20406,26131,18832,21577,17046,9756,11105,1467,3000,2,47,0,0,0,0
Jun-22,2호선,236,영등포구청,54,0,5407,3177,12071,14920,37524,36120,44765,121398,27471,53280,22077,26191,23187,23733,24904,23956,25650,26431,27071,23532,29116,24036,34167,28246,51233,34280,100431,51722,34000,34390,25944,20627,24058,19350,19040,18086,8243,12741,1083,3721,2,93,0,0,0,0
Jun-22,2호선,237,당산,33,3,6777,3030,16781,12742,43518,28744,52931,74242,32493,34974,22896,18553,22805,17639,23143,19092,22360,21420,20769,21781,22327,25339,26886,31307,39721,43978,58156,70910,25278,47177,20594,30522,20749,30220,18669,29343,8152,19551,1090,4315,6,108,0,0,0,0
Jun-22,2호선,238,합정,103,6,10412,2890,18325,14294,42116,32323,54453,92841,35930,82257,26206,48348,28510,48350,34102,50532,37541,56185,41078,51636,44179,51508,52356,60840,69638,77730,110290,108855,72524,72871,58447,38452,64355,32230,62970,28574,30937,20398,4187,6225,1,110,0,1,0,0
Jun-22,2호선,239,홍대입구,882,28,28322,3986,29273,17272,59260,36902,77518,100993,51399,116865,40489,86920,48116,102558,59579,121850,69023,132667,76776,126803,93183,128713,115985,135392,141574,162215,168625,201978,130744,138818,132488,78765,157600,63352,165217,53234,77003,40624,7780,12437,1,1366,0,0,0,0
