네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
패션의류
패션잡화
화장품/미용
조회기간 : 2022.06.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 여성
연령별 : 10대

"날짜","패션의류","패션잡화","화장품/미용"
"2022-01-01",26,49,20
"2022-01-02",29,54,24
"2022-01-03",24,45,20
"2022-01-04",23,42,21
"2022-01-05",23,43,21
"2022-01-06",23,43,22
"2022-01-07",23,44,21
"2022-01-08",27,52,22
"2022-01-09",30,57,26
"2022-01-10",24,48,23
"2022-01-11",26,49,23
"2022-01-12",27,51,23
"2022-01-13",27,51,23
"2022-01-14",25,49,22
"2022-01-15",28,56,23
"2022-01-16",32,62,25
"2022-01-17",28,52,24
"2022-01-18",28,51,23
"2022-01-19",28,50,23
"2022-01-20",27,50,22
"2022-01-21",26,48,22
"2022-01-22",28,54,23
"2022-01-23",33,59,26
"2022-01-24",29,53,23
"2022-01-25",27,50,23
"2022-01-26",26,49,23
"2022-01-27",25,49,21
"2022-01-28",23,45,20
"2022-01-29",25,49,20
"2022-01-30",27,55,22
"2022-01-31",28,57,24
"2022-02-01",38,80,31
"2022-02-02",43,95,37
"2022-02-03",40,83,34
"2022-02-04",36,72,32
"2022-02-05",37,78,32
"2022-02-06",38,83,33
"2022-02-07",33,65,29
"2022-02-08",30,61,26
"2022-02-09",29,60,27
"2022-02-10",29,59,27
"2022-02-11",27,57,26
"2022-02-12",31,65,27
"2022-02-13",35,74,30
"2022-02-14",30,65,27
"2022-02-15",31,64,27
"2022-02-16",31,63,27
"2022-02-17",29,62,26
"2022-02-18",29,62,26
"2022-02-19",33,72,27
"2022-02-20",37,85,31
"2022-02-21",35,80,30
"2022-02-22",35,82,29
"2022-02-23",34,82,29
"2022-02-24",34,78,29
"2022-02-25",32,73,27
"2022-02-26",35,76,28
"2022-02-27",35,78,28
"2022-02-28",31,69,25
"2022-03-01",33,75,26
"2022-03-02",20,42,15
"2022-03-03",19,33,13
"2022-03-04",19,34,14
"2022-03-05",32,54,23
"2022-03-06",37,62,26
"2022-03-07",22,36,15
"2022-03-08",21,32,14
"2022-03-09",33,50,23
"2022-03-10",23,34,15
"2022-03-11",22,33,14
"2022-03-12",36,52,21
"2022-03-13",42,58,25
"2022-03-14",23,34,14
"2022-03-15",23,31,13
"2022-03-16",24,31,13
"2022-03-17",25,31,14
"2022-03-18",25,31,13
"2022-03-19",38,50,20
"2022-03-20",41,56,23
"2022-03-21",24,34,14
"2022-03-22",22,29,13
"2022-03-23",23,30,13
"2022-03-24",19,26,11
"2022-03-25",23,31,13
"2022-03-26",34,46,19
"2022-03-27",38,51,22
"2022-03-28",23,31,14
"2022-03-29",22,28,12
"2022-03-30",23,29,12
"2022-03-31",22,27,12
"2022-04-01",22,28,12
"2022-04-02",33,42,19
"2022-04-03",36,47,23
"2022-04-04",24,30,13
"2022-04-05",24,27,12
"2022-04-06",26,29,13
"2022-04-07",25,28,13
"2022-04-08",27,27,11
"2022-04-09",35,40,17
"2022-04-10",40,47,21
"2022-04-11",33,31,14
"2022-04-12",33,29,12
"2022-04-13",31,29,13
"2022-04-14",35,29,13
"2022-04-15",38,30,12
"2022-04-16",41,44,18
"2022-04-17",44,49,21
"2022-04-18",45,33,14
"2022-04-19",45,30,13
"2022-04-20",53,32,13
"2022-04-21",50,31,13
"2022-04-22",51,32,13
"2022-04-23",44,43,18
"2022-04-24",45,46,20
"2022-04-25",41,32,15
"2022-04-26",39,30,14
"2022-04-27",39,30,14
"2022-04-28",39,29,14
"2022-04-29",43,30,14
"2022-04-30",44,45,21
"2022-05-01",46,53,24
"2022-05-02",55,36,17
"2022-05-03",57,32,16
"2022-05-04",66,33,14
"2022-05-05",52,51,22
"2022-05-06",46,45,22
"2022-05-07",41,48,25
"2022-05-08",45,53,27
"2022-05-09",56,37,18
"2022-05-10",56,35,15
"2022-05-11",57,35,15
"2022-05-12",50,31,14
"2022-05-13",40,29,13
"2022-05-14",43,46,20
"2022-05-15",44,53,23
"2022-05-16",39,36,16
"2022-05-17",37,33,14
"2022-05-18",36,32,14
"2022-05-19",33,30,13
"2022-05-20",28,29,12
"2022-05-21",34,45,19
"2022-05-22",39,53,22
"2022-05-23",30,35,15
"2022-05-24",27,30,13
"2022-05-25",28,32,13
"2022-05-26",24,30,12
"2022-05-27",21,28,11
"2022-05-28",29,42,17
"2022-05-29",35,51,21
"2022-05-30",25,34,14
"2022-05-31",20,30,12
"2022-06-01",30,44,18
"2022-06-02",23,34,15
"2022-06-03",21,31,14
"2022-06-04",28,43,18
"2022-06-05",31,49,21
"2022-06-06",31,48,23
"2022-06-07",22,33,15
"2022-06-08",19,31,14
"2022-06-09",17,25,11
"2022-06-10",19,29,12
"2022-06-11",25,40,16
"2022-06-12",32,49,20
"2022-06-13",24,35,14
"2022-06-14",21,32,12
"2022-06-15",22,32,12
"2022-06-16",20,29,12
"2022-06-17",20,29,12
"2022-06-18",26,41,17
"2022-06-19",31,48,21
"2022-06-20",24,34,15
"2022-06-21",23,30,13
"2022-06-22",23,31,13
"2022-06-23",22,31,12
"2022-06-24",20,30,12
"2022-06-25",26,39,15
"2022-06-26",29,44,18
"2022-06-27",22,34,14
"2022-06-28",20,29,13
"2022-06-29",21,30,13
"2022-06-30",20,31,13
"2022-07-01",23,32,14
"2022-07-02",29,44,19
"2022-07-03",31,48,21
"2022-07-04",24,35,16
"2022-07-05",22,31,14
"2022-07-06",20,29,14
"2022-07-07",22,28,13
"2022-07-08",19,27,12
"2022-07-09",24,37,16
