네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
패션의류
패션잡화
화장품/미용
조회기간 : 2022.06.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 20대

"날짜","패션의류","패션잡화","화장품/미용"
"2022-03-08",40,49,13
"2022-03-09",43,52,13
"2022-03-10",42,51,12
"2022-03-11",41,48,11
"2022-03-12",45,52,11
"2022-03-13",53,61,13
"2022-03-14",48,57,14
"2022-03-15",46,53,12
"2022-03-16",46,52,12
"2022-03-17",42,49,12
"2022-03-18",37,45,11
"2022-03-19",41,50,10
"2022-03-20",48,55,12
"2022-03-21",44,52,13
"2022-03-22",42,49,12
"2022-03-23",42,47,12
"2022-03-24",37,42,11
"2022-03-25",34,41,10
"2022-03-26",37,45,10
"2022-03-27",45,52,11
"2022-03-28",42,50,12
"2022-03-29",41,47,12
"2022-03-30",40,46,11
"2022-03-31",37,44,11
"2022-04-01",35,41,10
"2022-04-02",36,43,10
"2022-04-03",43,50,12
"2022-04-04",44,50,13
"2022-04-05",41,49,13
"2022-04-06",40,47,12
"2022-04-07",37,44,11
"2022-04-08",34,42,11
"2022-04-09",37,44,11
"2022-04-10",45,51,12
"2022-04-11",50,52,14
"2022-04-12",51,52,13
"2022-04-13",45,51,13
"2022-04-14",39,48,13
"2022-04-15",34,43,13
"2022-04-16",37,46,11
"2022-04-17",44,53,13
"2022-04-18",42,52,14
"2022-04-19",41,48,13
"2022-04-20",40,47,13
"2022-04-21",37,46,12
"2022-04-22",33,40,10
"2022-04-23",35,43,10
"2022-04-24",45,51,13
"2022-04-25",46,52,14
"2022-04-26",45,51,14
"2022-04-27",42,48,13
"2022-04-28",38,46,13
"2022-04-29",32,42,12
"2022-04-30",34,45,12
"2022-05-01",43,56,15
"2022-05-02",43,56,16
"2022-05-03",38,52,15
"2022-05-04",34,45,13
"2022-05-05",37,49,13
"2022-05-06",35,46,13
"2022-05-07",34,47,14
"2022-05-08",42,54,15
"2022-05-09",42,53,16
"2022-05-10",42,53,16
"2022-05-11",41,51,15
"2022-05-12",37,46,14
"2022-05-13",32,41,13
"2022-05-14",33,44,12
"2022-05-15",40,51,15
"2022-05-16",42,52,16
"2022-05-17",42,50,15
"2022-05-18",39,47,15
"2022-05-19",35,43,14
"2022-05-20",31,40,13
"2022-05-21",33,42,13
"2022-05-22",41,51,15
"2022-05-23",43,51,16
"2022-05-24",43,49,16
"2022-05-25",41,47,14
"2022-05-26",36,43,14
"2022-05-27",31,39,11
"2022-05-28",31,41,12
"2022-05-29",39,49,14
"2022-05-30",40,49,15
"2022-05-31",35,45,14
"2022-06-01",40,51,16
"2022-06-02",36,48,15
"2022-06-03",32,43,15
"2022-06-04",33,43,14
"2022-06-05",36,48,15
"2022-06-06",39,52,17
"2022-06-07",38,50,18
"2022-06-08",37,48,18
"2022-06-09",34,45,17
"2022-06-10",31,41,15
"2022-06-11",31,43,15
"2022-06-12",38,51,16
"2022-06-13",39,51,17
"2022-06-14",36,48,16
"2022-06-15",34,46,15
"2022-06-16",32,43,15
"2022-06-17",29,39,14
"2022-06-18",29,41,14
"2022-06-19",36,47,16
"2022-06-20",39,48,17
"2022-06-21",38,46,17
"2022-06-22",36,45,16
"2022-06-23",33,44,15
"2022-06-24",29,40,15
"2022-06-25",30,41,14
"2022-06-26",37,49,16
"2022-06-27",37,51,18
"2022-06-28",37,49,17
"2022-06-29",36,47,16
"2022-06-30",33,48,16
"2022-07-01",31,43,15
"2022-07-02",32,44,15
"2022-07-03",39,52,17
"2022-07-04",40,53,18
"2022-07-05",39,51,17
"2022-07-06",38,48,18
"2022-07-07",35,44,17
"2022-07-08",31,41,15
"2022-07-09",32,43,15
