날짜,여성_60대이상,여성_50대,여성_40대,여성_30대,여성_20대,여성_10대,남성_60대이상,남성_50대,남성_40대,남성_30대,남성_20대,남성_10대
2021-12-08,10,22,30,37,15,29,20,19,66,69,14,44
2021-12-09,14,12,25,70,11,45,36,44,68,59,12,22
2021-12-10,3,8,20,56,13,36,50,47,60,52,11,36
2021-12-11,14,16,21,50,10,15,26,26,50,40,8,19
2021-12-12,0,20,20,37,9,24,26,24,78,40,12,19
2021-12-13,21,11,27,52,17,15,28,31,72,70,16,27
2021-12-14,7,29,34,53,12,31,18,20,69,68,15,39
2021-12-15,7,44,30,49,11,35,24,31,68,69,18,28
2021-12-16,17,16,32,64,15,45,40,41,63,57,15,42
2021-12-17,62,9,30,49,15,27,32,44,65,50,15,47
2021-12-18,7,14,26,45,15,36,30,16,36,36,12,34
2021-12-19,3,18,27,36,11,36,34,31,51,44,14,36
2021-12-20,14,14,27,60,19,18,48,23,52,70,17,42
2021-12-21,10,17,34,51,15,31,20,61,60,55,16,37
2021-12-22,34,19,31,67,20,49,20,44,55,60,16,44
2021-12-23,10,14,25,49,16,65,40,44,45,54,17,42
2021-12-24,7,13,22,40,7,51,4,28,60,35,12,22
2021-12-25,10,13,26,17,9,11,10,30,49,26,10,17
2021-12-26,7,19,32,35,10,62,80,23,58,37,14,30
2021-12-27,21,21,24,35,17,36,28,32,74,52,22,30
2021-12-28,14,9,29,60,17,42,26,31,84,56,16,44
2021-12-29,31,8,31,51,20,45,24,40,44,57,21,44
2021-12-30,10,18,38,56,15,42,8,77,80,56,16,41
2021-12-31,10,10,23,60,14,65,12,30,47,57,12,18
2022-01-01,28,7,21,26,14,22,30,28,48,30,13,9
2022-01-02,41,34,31,66,18,20,26,48,53,53,14,42
2022-01-03,24,29,44,75,20,29,62,51,82,97,23,28
2022-01-04,52,15,49,83,15,18,22,83,78,100,23,52
2022-01-05,24,32,45,78,22,53,28,56,73,79,19,24
2022-01-06,38,25,39,52,15,47,18,56,64,54,16,22
2022-01-07,3,20,40,48,13,16,16,44,75,56,12,21
2022-01-08,69,12,23,25,11,11,24,48,44,42,13,33
2022-01-09,76,6,27,51,10,31,36,25,74,38,11,42
