날짜,생활취미레저_남성_10대,생활취미레저_남성_20대,생활취미레저_남성_30대,생활취미레저_남성_40대,생활취미레저_남성_50대,생활취미레저_남성_60대,생활취미레저_여성_10대,생활취미레저_여성_20대,생활취미레저_여성_30대,생활취미레저_여성_40대,생활취미레저_여성_50대,생활취미레저_여성_60대
2022-02-10,29,33,62,72,47,38,45,29,59,56,59,32
2022-02-11,15,33,51,62,43,31,54,30,65,50,62,50
2022-02-12,29,27,49,65,50,35,53,30,50,54,61,54
2022-02-13,23,43,58,54,66,43,41,27,60,51,59,37
2022-02-14,8,35,78,63,61,57,59,34,70,50,64,29
2022-02-15,30,37,81,66,54,70,46,33,69,65,61,65
2022-02-16,29,42,56,66,63,60,46,36,70,55,59,58
2022-02-17,43,34,79,61,46,45,54,38,67,56,66,31
2022-02-18,26,32,60,57,50,49,44,42,67,52,53,32
2022-02-19,29,37,60,53,45,52,55,38,60,60,63,30
2022-02-20,29,40,75,67,46,61,51,42,71,60,55,34
2022-02-21,26,42,69,77,43,60,44,55,70,63,60,35
2022-02-22,46,52,64,62,72,69,63,56,70,49,61,41
2022-02-23,11,46,65,70,49,70,44,56,73,58,60,53
2022-02-24,18,50,70,59,46,65,60,57,66,62,59,26
2022-02-25,33,43,49,60,41,52,78,52,59,51,57,35
2022-02-26,29,33,45,50,51,53,29,37,66,53,53,28
2022-02-27,38,40,70,50,37,51,40,35,55,46,48,28
2022-02-28,18,39,71,57,38,44,44,53,68,45,52,25
2022-03-01,20,50,69,63,56,94,44,51,72,51,62,45
2022-03-02,40,81,88,69,75,58,58,79,75,48,63,54
2022-03-03,39,100,91,73,63,51,69,94,68,52,82,34
2022-03-04,54,71,59,54,49,60,39,80,70,54,62,38
2022-03-05,30,53,59,67,62,35,39,50,48,45,56,40
2022-03-06,42,54,78,71,64,57,67,56,55,52,69,44
2022-03-07,40,98,88,70,83,48,59,83,63,46,76,39
2022-03-08,76,81,73,65,68,49,44,72,71,52,67,36
2022-03-09,25,60,67,63,62,38,63,41,62,50,64,31
2022-03-10,55,65,73,60,39,55,75,64,62,59,63,29
2022-03-11,86,53,60,62,48,35,56,44,67,56,57,43
2022-03-12,40,41,52,73,66,39,46,31,55,51,61,40
2022-03-13,40,44,83,74,64,53,50,39,62,55,64,54
2022-03-14,56,59,81,80,57,64,40,53,77,57,75,37
2022-03-15,40,56,56,59,65,53,56,53,60,54,65,37
2022-03-16,46,59,60,80,39,60,64,45,69,64,70,34
2022-03-17,49,42,59,68,46,44,72,37,66,60,73,36
2022-03-18,70,35,53,73,52,69,69,34,61,57,53,37
