날짜,남자10대,남자20대,남자30대,남자40대,남자50대,남자60대,여자10대,여자20대,여자30대,여자40대,여자50대,여자60대
2022-02-12,37,21,38,43,42,52,25,20,36,46,31,31
2022-02-13,36,26,44,55,36,47,29,23,38,47,44,48
2022-02-14,39,35,40,49,35,56,30,23,37,49,46,34
2022-02-15,45,28,50,43,31,52,28,23,35,49,35,31
2022-02-16,46,22,43,46,35,66,29,25,35,44,35,55
2022-02-17,41,27,39,45,36,55,31,23,32,45,38,51
2022-02-18,32,22,41,37,53,46,32,22,35,42,28,25
2022-02-19,28,30,39,42,40,41,39,26,36,48,32,45
2022-02-20,48,25,45,53,56,46,36,26,40,49,36,46
2022-02-21,45,32,59,56,44,78,40,24,32,47,31,29
2022-02-22,41,32,47,45,43,34,36,24,35,46,35,35
2022-02-23,58,31,39,44,34,21,32,29,39,47,43,49
2022-02-24,35,24,36,33,28,46,32,24,42,50,45,31
2022-02-25,28,25,31,38,30,52,29,22,30,46,36,31
2022-02-26,41,27,50,43,40,68,26,22,32,42,40,34
2022-02-27,45,29,48,57,43,59,34,23,32,43,44,42
2022-02-28,51,38,48,53,56,55,30,26,36,45,39,49
2022-03-01,56,40,89,73,57,42,27,29,43,45,42,44
2022-03-02,36,59,92,53,35,47,17,37,44,40,46,42
2022-03-03,51,36,45,44,46,40,31,33,39,42,40,30
2022-03-04,49,40,45,44,54,53,24,29,34,40,39,22
2022-03-05,39,32,44,53,44,49,30,27,35,46,41,34
2022-03-06,53,29,51,54,57,42,30,25,38,53,47,44
2022-03-07,48,45,56,48,36,48,30,27,33,44,38,32
2022-03-08,45,35,43,51,41,46,24,25,32,44,42,29
2022-03-09,38,29,44,43,45,34,28,21,28,44,31,48
2022-03-10,59,33,47,42,42,31,28,24,29,43,36,26
2022-03-11,50,32,44,52,37,67,25,24,32,45,32,23
2022-03-12,51,28,51,58,36,40,31,20,33,47,37,29
2022-03-13,58,29,49,61,53,48,32,24,35,59,44,64
2022-03-14,55,39,56,62,60,54,31,22,30,47,39,43
2022-03-15,61,38,52,55,42,49,34,25,35,46,37,28
2022-03-16,63,39,56,67,66,85,30,25,35,46,42,65
2022-03-17,61,30,57,55,48,44,25,22,37,48,40,50
2022-03-18,56,34,50,55,49,100,28,20,36,50,46,43
2022-03-19,46,38,56,77,52,55,34,25,44,62,48,35
2022-03-20,56,31,77,91,70,49,36,29,42,55,58,48
2022-03-21,50,33,58,68,57,72,30,27,36,49,46,41
2022-03-22,43,30,53,65,50,46,26,25,35,50,41,25
2022-03-23,46,26,42,47,57,34,29,23,34,50,38,27
2022-03-24,48,27,45,42,42,35,23,21,38,48,49,30
2022-03-25,48,21,44,49,42,34,26,20,35,53,48,32
2022-03-26,35,21,50,55,51,40,28,18,42,49,49,46
2022-03-27,47,26,51,62,58,55,31,20,44,57,51,60
2022-03-28,55,29,52,60,51,85,26,23,40,51,46,26
2022-03-29,52,27,44,54,65,40,20,21,38,51,45,41
2022-03-30,56,28,55,55,60,82,20,23,41,56,64,39
2022-03-31,52,31,63,61,50,59,21,18,39,49,42,36
2022-04-01,44,19,42,54,46,67,19,21,36,43,39,54
2022-04-02,38,21,43,59,62,67,24,18,35,52,50,30
2022-04-03,47,23,42,53,54,64,26,21,39,53,47,66
2022-04-04,45,30,64,55,57,67,21,25,49,47,53,49
2022-04-05,37,23,41,56,48,65,17,21,44,51,43,48
2022-04-06,48,27,55,68,53,59,19,23,45,57,53,34
2022-04-07,40,26,41,43,50,48,17,20,39,43,46,31
2022-04-08,38,23,40,41,40,80,17,19,38,39,31,31
2022-04-09,43,24,38,47,52,64,19,17,32,36,42,33
2022-04-10,29,24,42,50,44,46,22,21,40,46,38,35
2022-04-11,33,22,37,47,43,45,19,16,34,43,36,48
2022-04-12,29,22,66,91,100,91,18,28,84,100,89,59
2022-04-13,43,31,54,69,64,71,19,29,80,82,82,61
2022-04-14,32,34,78,100,82,95,18,32,92,97,100,63
2022-04-15,32,33,57,75,79,75,16,36,100,90,95,51
2022-04-16,37,26,76,90,74,84,20,35,85,87,78,56
2022-04-17,54,28,67,75,64,53,18,30,64,73,63,63
2022-04-18,25,26,63,83,53,72,16,22,67,65,62,59
2022-04-19,37,27,52,57,69,98,14,26,67,72,78,57
2022-04-20,36,30,67,66,73,51,17,26,67,74,87,71
2022-04-21,43,20,56,68,88,44,16,29,73,71,75,33
2022-04-22,36,26,72,84,84,86,18,45,94,84,89,100
2022-04-23,34,23,64,83,63,87,18,38,86,94,97,74
2022-04-24,27,29,67,88,89,89,18,32,77,95,94,96
2022-04-25,33,27,69,91,81,93,14,33,65,74,86,47
2022-04-26,37,30,61,66,51,84,15,24,61,69,67,71
2022-04-27,23,26,56,71,85,88,13,26,65,76,67,57
2022-04-28,37,29,58,65,51,61,13,28,62,76,72,35
2022-04-29,35,21,68,70,37,31,14,23,57,68,79,72
2022-04-30,28,27,66,73,65,73,20,24,57,61,69,65
2022-05-01,29,26,67,94,65,80,20,23,67,75,88,49
2022-05-02,47,29,66,73,47,82,20,30,57,72,92,64
2022-05-03,44,26,57,73,53,91,16,27,57,62,72,83
2022-05-04,36,23,46,56,53,41,22,25,44,55,61,61
2022-05-05,36,19,59,62,57,36,18,21,39,55,69,54
2022-05-06,34,22,46,51,52,54,22,23,38,45,54,46
2022-05-07,38,25,44,50,51,73,19,19,40,47,50,59
2022-05-08,50,27,55,61,56,75,22,22,39,52,59,57
2022-05-09,45,30,51,56,55,84,24,22,41,48,57,58
2022-05-10,47,25,41,55,37,42,21,23,37,49,56,26
2022-05-11,46,26,41,52,46,28,22,20,41,50,61,53
2022-05-12,39,30,49,50,47,40,19,18,41,51,60,30
2022-05-13,36,20,27,42,44,78,16,17,32,47,47,38
2022-05-14,39,14,32,48,33,54,19,15,29,40,42,29
2022-05-15,44,28,39,49,35,44,24,18,37,45,43,45
2022-05-16,36,22,36,44,35,39,21,20,31,40,44,35
2022-05-17,44,15,38,50,36,72,21,19,35,47,46,34
2022-05-18,33,28,38,43,52,52,17,22,35,44,45,49
2022-05-19,33,24,45,36,35,35,14,20,38,44,43,57
2022-05-20,33,19,27,32,24,35,14,16,28,41,36,39
2022-05-21,34,13,37,35,26,56,14,14,26,36,34,32
2022-05-22,36,23,36,43,41,48,24,16,29,37,42,29
2022-05-23,41,21,33,38,34,24,16,16,29,36,50,38
2022-05-24,47,20,42,32,29,64,16,15,32,39,38,28
2022-05-25,34,19,37,32,40,52,16,16,29,37,34,38
