날짜,남자10대,남자20대,남자30대,남자40대,남자50대,남자60대,여자10대,여자20대,여자30대,여자40대,여자50대,여자60대
2021-09-17,48,34,50,35,29,23,52,23,35,33,15,21
2021-09-18,7,23,43,41,18,2,14,15,31,32,8,10
2021-09-19,14,23,40,42,28,19,31,14,22,26,12,13
2021-09-20,24,19,31,26,19,14,28,11,21,26,8,16
2021-09-21,17,21,30,28,38,30,3,11,28,21,22,23
2021-09-22,24,25,42,38,39,14,38,19,37,24,17,22
2021-09-23,31,37,52,42,25,26,38,28,47,33,13,22
2021-09-24,38,35,60,29,48,21,10,24,39,33,22,28
2021-09-25,45,26,40,32,60,11,17,19,35,41,23,40
2021-09-26,28,36,38,32,44,19,31,25,42,27,9,26
2021-09-27,24,37,63,33,28,16,41,36,52,37,9,41
2021-09-28,55,35,57,52,31,54,28,40,50,53,21,40
2021-09-29,48,35,54,38,35,25,59,32,55,47,19,31
2021-09-30,45,36,58,36,29,14,24,34,51,55,18,28
2021-10-01,31,40,37,39,39,53,59,35,33,43,26,31
2021-10-02,28,28,32,43,33,25,21,28,38,42,15,30
2021-10-03,28,27,36,29,35,32,21,28,30,28,21,24
2021-10-04,28,29,74,53,49,49,3,28,52,63,28,46
2021-10-05,62,33,61,43,35,37,28,44,54,57,36,32
2021-10-06,48,39,63,54,41,26,31,37,58,60,32,43
2021-10-07,41,35,51,36,56,58,38,40,62,55,50,43
2021-10-08,31,33,41,32,69,28,52,30,55,59,24,27
2021-10-09,24,31,25,36,24,30,14,25,31,40,17,23
2021-10-10,48,31,39,36,63,54,14,28,38,36,27,62
2021-10-11,31,31,52,39,46,37,45,32,38,54,31,33
2021-10-12,34,34,50,47,38,25,14,43,64,57,24,42
2021-10-13,14,28,51,30,40,19,28,41,56,65,24,39
2021-10-14,41,30,43,43,48,16,28,38,56,50,24,41
2021-10-15,45,27,35,31,76,19,59,27,48,40,14,31
2021-10-16,10,25,22,37,34,19,28,23,32,35,26,39
2021-10-17,34,29,48,32,39,23,38,27,37,33,24,24
2021-10-18,72,37,37,32,58,9,45,33,48,40,31,17
2021-10-19,24,35,43,33,31,37,17,32,53,49,8,26
2021-10-20,34,24,43,51,66,63,41,29,51,41,19,32
2021-10-21,38,29,43,29,69,26,10,28,50,44,14,39
2021-10-22,86,16,39,32,40,28,34,24,49,38,14,20
2021-10-23,24,24,32,20,24,25,38,24,41,31,17,12
2021-10-24,21,18,33,39,23,19,38,20,41,30,10,28
2021-10-25,55,45,46,41,29,25,41,31,46,37,17,25
2021-10-26,31,35,48,34,41,16,59,30,54,52,14,41
2021-10-27,38,34,69,56,36,33,17,30,59,50,14,31
2021-10-28,48,29,52,43,48,33,38,27,55,58,21,28
2021-10-29,45,29,46,37,40,19,34,24,44,45,23,33
2021-10-30,41,24,34,41,30,21,31,22,47,36,13,28
2021-10-31,38,31,40,33,48,39,24,22,48,38,19,34
2021-11-01,48,37,60,48,38,32,79,40,78,56,29,40
2021-11-02,59,44,74,58,50,39,38,39,68,64,22,35
2021-11-03,21,36,49,74,44,30,45,34,72,77,27,36
2021-11-04,28,23,62,38,40,26,24,31,74,67,21,45
2021-11-05,28,27,49,47,38,58,48,27,83,47,26,40
2021-11-06,28,19,35,29,36,16,41,19,59,41,14,30
2021-11-07,14,23,40,25,31,19,41,25,58,43,31,28
2021-11-08,55,28,37,53,44,46,24,34,79,50,14,42
2021-11-09,45,27,56,52,31,21,31,38,85,62,17,43
2021-11-10,28,27,59,48,40,23,17,34,83,56,24,43
2021-11-11,45,35,54,36,34,21,34,29,86,52,13,40
2021-11-12,52,22,48,25,36,33,45,22,54,50,24,49
2021-11-13,3,18,41,27,40,19,45,17,51,42,22,34
2021-11-14,10,21,42,36,35,25,24,21,59,52,28,37
2021-11-15,14,31,62,38,65,39,28,29,67,60,19,39
2021-11-16,17,28,68,46,41,11,38,26,64,55,21,47
2021-11-17,21,29,73,62,40,19,24,29,57,52,26,33
2021-11-18,41,22,53,45,31,26,24,25,71,40,15,44
2021-11-19,17,22,42,47,38,19,28,24,52,54,27,36
2021-11-20,21,21,39,35,29,23,28,19,43,54,36,40
2021-11-21,66,24,48,43,34,26,62,24,60,62,14,46
2021-11-22,21,35,59,77,34,32,38,28,75,87,23,42
2021-11-23,38,43,50,82,69,42,17,30,86,76,32,45
2021-11-24,31,34,47,46,60,70,34,32,79,74,35,37
2021-11-25,7,27,47,72,65,44,17,37,71,57,36,49
2021-11-26,59,19,41,33,43,26,21,30,62,61,23,36
2021-11-27,24,23,37,50,29,39,34,28,56,60,18,30
2021-11-28,21,34,47,56,63,32,48,27,61,53,24,45
2021-11-29,72,41,61,38,50,14,41,39,66,83,44,31
2021-11-30,59,34,56,49,30,35,38,36,73,76,41,48
2021-12-01,62,34,69,82,64,25,24,42,82,52,40,51
2021-12-02,66,38,89,57,49,54,45,46,84,89,26,64
2021-12-03,48,28,58,58,38,28,41,41,73,67,50,47
2021-12-04,14,24,46,29,64,58,10,24,58,63,26,36
2021-12-05,38,31,46,48,33,37,59,34,62,61,27,52
2021-12-06,52,30,79,56,59,56,24,52,81,58,29,46
2021-12-07,24,39,62,58,41,26,38,37,70,64,36,43
2021-12-08,28,27,82,46,56,37,34,38,78,65,40,49
2021-12-09,28,33,56,43,65,70,59,34,79,70,45,39
2021-12-10,48,43,89,74,48,42,14,34,72,68,36,49
2021-12-11,100,32,54,43,51,42,31,27,54,74,24,58
2021-12-12,28,37,75,43,50,82,66,30,52,69,41,48
2021-12-13,69,47,75,46,31,23,45,36,77,58,46,61
2021-12-14,86,36,60,73,34,21,34,25,71,82,29,32
2021-12-15,86,27,74,60,95,100,34,15,67,69,91,75
2021-12-16,31,32,57,74,66,40,41,16,65,60,51,42
2021-12-17,31,22,56,57,36,42,38,15,40,68,21,46
2021-12-18,24,24,39,39,40,26,38,16,51,59,100,36
2021-12-19,24,24,66,61,44,35,48,18,54,53,40,35
2021-12-20,17,35,65,53,58,51,90,19,100,60,29,46
2021-12-21,24,25,67,40,43,30,34,16,57,44,33,43
2021-12-22,21,35,78,74,40,40,72,17,58,48,36,43
2021-12-23,31,33,62,74,61,25,45,17,67,77,38,48
2021-12-24,17,29,50,65,55,26,28,15,56,56,14,50
2021-12-25,17,19,52,78,56,49,21,13,43,49,12,33
2021-12-26,38,24,58,63,49,30,48,13,59,54,26,46
2021-12-27,45,36,72,96,49,49,41,18,65,60,32,40
2021-12-28,62,45,84,66,68,56,34,17,65,63,21,45
2021-12-29,72,35,72,71,53,54,31,17,64,79,21,47
2021-12-30,14,27,65,50,28,35,41,18,53,69,49,35
2021-12-31,55,29,63,49,33,14,28,13,46,52,21,28
2022-01-01,7,22,69,58,34,25,41,17,66,57,26,47
2022-01-02,21,24,80,64,54,49,38,18,71,65,29,36
2022-01-03,3,38,74,81,54,44,10,21,82,66,27,42
2022-01-04,24,40,87,62,69,35,17,23,71,100,32,42
2022-01-05,48,35,95,69,56,37,24,24,93,68,26,52
2022-01-06,59,35,78,62,45,39,21,20,74,63,29,36
2022-01-07,3,21,56,74,49,68,10,16,57,55,27,41
2022-01-08,24,23,51,56,39,47,38,12,51,57,28,44
2022-01-09,17,20,46,60,48,39,21,15,60,57,42,58
2022-01-10,7,29,83,75,69,49,17,18,77,70,64,53
2022-01-11,38,23,100,65,34,39,69,23,99,64,45,43
2022-01-12,7,29,86,72,75,70,31,15,83,97,38,71
2022-01-13,28,34,81,81,41,16,14,16,71,70,45,58
2022-01-14,14,25,73,67,78,37,14,13,75,65,41,47
2022-01-15,14,19,46,53,34,28,10,8,50,70,27,33
2022-01-16,3,19,63,40,48,21,21,9,59,68,37,57
2022-01-17,21,32,68,74,65,61,10,14,64,66,45,49
2022-01-18,14,19,69,64,59,68,17,13,61,67,27,54
2022-01-19,28,23,51,60,65,44,66,10,55,71,29,59
2022-01-20,14,23,52,47,70,40,7,14,58,54,40,47
2022-01-21,24,16,55,70,86,39,28,14,44,52,40,45
2022-01-22,45,17,38,48,61,40,17,8,38,66,42,56
2022-01-23,14,18,54,30,83,21,24,13,53,57,37,46
2022-01-24,34,33,60,73,45,35,24,25,58,73,50,43
2022-01-25,7,40,68,57,48,35,24,14,68,60,41,49
2022-01-26,17,24,52,49,55,61,14,14,61,47,51,50
2022-01-27,7,29,50,63,35,26,17,12,62,52,29,35
2022-01-28,31,25,35,57,40,35,17,14,33,44,29,37
2022-01-29,17,17,28,47,15,26,31,8,35,33,27,33
2022-01-30,21,13,30,51,43,19,21,10,40,47,23,29
2022-01-31,7,26,37,44,49,28,14,8,43,34,13,30
2022-02-01,0,15,33,38,50,37,17,9,33,36,29,31
2022-02-02,17,17,61,100,66,74,17,17,60,73,60,66
2022-02-03,10,32,74,66,70,28,45,18,74,57,40,37
2022-02-04,17,32,63,53,38,25,31,18,53,70,31,40
2022-02-05,21,24,41,58,43,46,21,11,51,44,22,63
2022-02-06,14,35,54,60,50,39,7,14,57,48,27,45
2022-02-07,3,30,68,56,90,44,48,19,59,67,42,40
2022-02-08,28,23,56,45,53,16,31,18,60,54,36,42
2022-02-09,34,19,71,64,56,23,17,15,60,59,36,54
2022-02-10,21,23,46,56,49,18,21,16,57,68,28,50
2022-02-11,7,22,47,66,40,9,24,16,72,50,47,40
2022-02-12,17,16,38,58,33,18,21,17,43,67,32,39
2022-02-13,3,24,58,40,55,26,21,11,54,58,24,45
2022-02-14,7,25,70,47,53,25,21,19,66,58,32,42
2022-02-15,17,29,69,53,49,33,24,20,73,90,32,47
2022-02-16,3,37,52,69,58,44,31,24,81,60,51,67
2022-02-17,21,27,79,43,30,32,48,26,73,64,22,52
2022-02-18,24,25,58,47,34,49,14,30,65,55,31,53
2022-02-19,24,30,58,37,45,49,3,25,53,70,28,42
2022-02-20,17,23,68,62,35,37,14,23,65,67,31,40
2022-02-21,10,30,61,81,38,25,17,38,74,91,36,57
2022-02-22,17,43,59,56,76,37,7,38,77,58,35,52
2022-02-23,7,39,62,72,56,40,28,46,84,67,41,67
2022-02-24,3,53,76,66,49,47,21,45,62,77,29,62
2022-02-25,34,44,44,68,45,35,28,39,66,80,38,42
2022-02-26,0,31,37,43,39,46,7,27,66,60,27,43
2022-02-27,7,33,61,34,36,33,24,21,48,42,26,55
2022-02-28,3,35,77,55,29,39,14,40,71,58,22,46
2022-03-01,10,44,60,44,50,60,21,39,76,67,58,63
2022-03-02,14,79,78,83,100,53,28,66,88,73,26,67
2022-03-03,38,92,94,90,83,33,59,81,88,83,31,90
2022-03-04,34,73,62,61,53,37,31,70,94,70,27,59
2022-03-05,10,44,57,75,61,14,7,40,50,64,27,48
