날짜,경제_경영_남성_10대,경제_경영_남성_20대,경제_경영_남성_30대,경제_경영_남성_40대,경제_경영_남성_50대,경제_경영_남성_60대이상,경제_경영_여성_10대,경제_경영_여성_20대,경제_경영_여성_30대,경제_경영_여성_40대,경제_경영_여성_50대,경제_경영_여성_60대이상
2021-12-14,51,45,57,69,58,79,45,13,58,50,31,13
2021-12-15,49,45,69,66,59,53,39,13,55,53,35,24
2021-12-16,42,36,64,76,60,77,41,14,51,46,27,13
2021-12-17,51,28,59,64,69,51,25,11,43,45,27,19
2021-12-18,30,31,50,49,59,44,45,13,42,37,26,17
2021-12-19,63,82,56,60,59,56,57,15,44,42,27,23
2021-12-20,66,43,74,72,51,39,65,19,55,45,26,23
2021-12-21,32,41,65,59,60,43,27,19,53,41,20,11
2021-12-22,32,40,62,64,44,55,53,17,50,42,23,16
2021-12-23,59,38,58,66,53,40,47,21,55,47,22,25
2021-12-24,44,35,55,48,51,40,47,14,37,37,22,14
2021-12-25,20,26,50,59,71,73,25,8,30,32,26,16
2021-12-26,41,40,74,76,91,69,53,12,52,49,47,21
2021-12-27,72,44,76,77,71,84,78,21,61,52,30,18
2021-12-28,89,43,78,66,70,53,41,18,50,50,30,19
2021-12-29,66,44,73,67,77,68,55,14,44,47,28,20
2021-12-30,63,35,57,70,74,60,67,16,50,44,30,19
2021-12-31,44,31,45,50,66,62,25,13,39,38,27,19
2022-01-01,44,24,47,56,69,76,22,9,41,39,26,16
2022-01-02,45,33,70,76,82,80,39,15,57,47,38,26
2022-01-03,66,38,76,78,74,89,53,17,62,57,29,18
2022-01-04,32,41,75,69,88,64,41,19,53,56,40,21
2022-01-05,41,33,56,65,64,68,57,17,54,53,34,27
2022-01-06,31,26,52,55,64,50,39,14,50,41,26,13
2022-01-07,13,21,52,47,53,43,43,13,45,41,21,18
2022-01-08,11,23,34,48,43,51,24,8,42,41,30,21
2022-01-09,27,26,63,69,68,55,25,13,43,48,32,18
2022-01-10,48,37,68,63,71,46,45,15,54,45,28,22
2022-01-11,20,23,48,57,55,54,24,15,48,44,27,18
2022-01-12,28,27,57,43,61,68,45,13,49,44,24,20
2022-01-13,21,32,46,58,67,69,41,11,41,37,33,20
2022-01-14,17,23,47,42,53,36,41,12,44,38,23,15
2022-01-15,6,26,42,49,49,70,20,9,32,29,30,17
2022-01-16,27,31,58,65,59,53,18,12,45,40,26,19
2022-01-17,23,24,53,54,62,97,55,16,52,40,22,25
2022-01-18,27,27,51,65,55,58,33,13,50,45,28,23
2022-01-19,17,22,40,62,64,58,33,15,52,47,35,17
2022-01-20,37,23,47,62,62,59,20,11,42,44,27,24
2022-01-21,13,21,46,48,54,45,24,11,40,38,26,19
2022-01-22,21,17,47,50,73,69,37,9,40,40,28,25
2022-01-23,18,25,52,57,81,58,55,10,55,40,39,25
2022-01-24,31,28,55,53,66,52,25,13,48,50,29,22
2022-01-25,23,23,54,65,50,67,37,12,49,39,28,19
2022-01-26,28,23,43,55,48,67,24,15,46,33,31,14
2022-01-27,24,20,45,44,44,47,27,12,47,41,24,19
2022-01-28,20,13,39,42,52,36,20,9,37,34,21,17
2022-01-29,24,16,34,46,54,52,25,9,24,29,17,13
2022-01-30,15,17,37,45,52,49,12,9,32,29,17,12
2022-01-31,27,16,28,38,56,60,22,7,28,24,18,8
2022-02-01,21,16,36,42,46,52,27,8,33,31,21,26
2022-02-02,28,25,52,76,83,83,12,12,46,45,30,26
2022-02-03,46,28,54,69,90,44,45,13,35,46,29,25
2022-02-04,46,26,41,61,63,48,33,14,38,45,31,23
