날짜,여성_60대_이상,여성_50대,여성_40대,여성_30대,여성_20대,여성_10대,남성_60대_이상,남성_50대,남성_40대,남성_30대,남성_20대,남성_10대
2022-04-17,85,93,74,61,43,44,78,78,69,55,44,45
2022-04-18,79,77,63,56,39,45,73,65,56,49,42,36
2022-04-19,81,81,67,56,37,45,76,65,57,49,41,31
2022-04-20,83,82,66,55,36,53,73,65,56,47,40,34
2022-04-21,84,80,63,50,34,50,70,61,52,43,37,33
2022-04-22,78,75,57,44,31,51,67,57,46,36,33,32
2022-04-23,86,88,66,49,35,44,71,66,54,41,35,37
2022-04-24,91,98,77,61,43,45,82,81,71,56,45,46
2022-04-25,84,81,65,57,41,41,76,68,60,52,46,35
2022-04-26,89,87,70,59,40,39,82,70,61,53,45,34
2022-04-27,85,83,67,56,38,39,78,65,57,48,42,33
2022-04-28,84,82,63,50,35,39,74,62,52,44,38,31
2022-04-29,80,73,52,41,30,43,67,54,43,35,32,28
2022-04-30,81,82,59,45,33,44,66,61,49,38,34,36
2022-05-01,88,90,69,58,43,46,76,76,64,52,43,44
2022-05-02,78,73,57,51,39,55,68,58,49,45,43,38
2022-05-03,78,73,57,48,35,57,69,58,47,41,38,37
2022-05-04,81,74,53,43,31,66,67,54,42,36,34,34
2022-05-05,93,91,61,48,35,52,78,67,53,43,37,39
2022-05-06,78,76,55,45,33,46,67,58,46,40,35,37
2022-05-07,83,84,60,48,35,41,71,63,51,42,34,39
2022-05-08,88,89,68,57,43,45,76,72,62,50,42,43
2022-05-09,82,75,60,54,38,56,64,58,51,45,42,40
2022-05-10,81,78,64,55,38,56,67,59,50,45,42,38
2022-05-11,87,83,67,56,38,57,72,62,52,46,41,38
2022-05-12,90,83,64,52,35,50,73,59,48,40,37,35
2022-05-13,85,77,57,45,31,40,72,55,42,34,32,29
2022-05-14,92,92,66,49,34,43,70,63,50,38,33,35
2022-05-15,98,100,74,60,41,44,76,74,62,49,40,43
2022-05-16,86,80,64,56,39,39,78,63,53,47,42,36
2022-05-17,89,85,68,57,38,37,77,61,54,47,42,32
2022-05-18,90,85,67,55,36,36,77,61,52,45,39,30
2022-05-19,87,80,63,51,33,33,72,58,48,40,35,28
2022-05-20,84,76,57,45,30,28,71,54,44,36,31,25
2022-05-21,90,88,64,48,32,34,72,63,50,38,33,32
2022-05-22,98,99,75,61,42,39,83,77,64,52,41,38
2022-05-23,88,82,67,58,39,30,76,63,53,49,43,30
2022-05-24,90,85,69,59,39,27,77,65,55,49,43,28
2022-05-25,88,84,67,56,37,28,79,64,54,48,41,28
2022-05-26,85,80,61,50,33,24,72,59,48,41,36,25
2022-05-27,82,75,55,44,29,21,68,53,42,36,31,22
2022-05-28,88,87,62,46,30,29,73,60,48,37,31,29
2022-05-29,93,95,71,57,39,35,77,72,61,50,39,37
2022-05-30,86,77,60,52,36,25,71,58,49,44,40,28
2022-05-31,84,76,58,47,32,20,69,54,45,39,35,22
2022-06-01,98,98,76,60,39,30,77,71,61,50,40,31
2022-06-02,84,78,62,53,35,23,66,54,46,41,36,26
2022-06-03,83,75,57,45,31,21,66,53,43,36,32,24
2022-06-04,90,89,63,48,32,28,71,61,47,38,33,31
2022-06-05,100,99,69,53,37,31,80,69,53,42,36,34
2022-06-06,98,94,70,58,40,31,75,69,56,49,39,34
2022-06-07,80,73,59,52,36,22,65,54,46,43,38,26
2022-06-08,81,75,60,51,33,19,65,55,46,41,37,23
2022-06-09,81,75,59,49,32,17,67,53,44,38,34,20
2022-06-10,78,71,54,42,29,19,62,48,39,33,31,21
2022-06-11,83,82,60,45,32,25,65,54,44,34,31,27
2022-06-12,89,91,70,57,40,32,71,66,54,46,38,34
2022-06-13,79,73,59,52,37,24,69,55,46,43,39,26
2022-06-14,85,77,60,51,34,21,68,55,45,41,36,25
2022-06-15,80,73,57,48,33,22,65,52,43,39,34,24
2022-06-16,78,70,54,44,31,20,61,49,40,36,32,23
2022-06-17,75,69,51,40,28,20,58,46,37,32,29,21
2022-06-18,82,82,59,43,30,26,63,55,43,34,29,28
2022-06-19,88,88,67,54,38,31,69,64,52,44,36,34
2022-06-20,79,75,60,52,38,24,69,55,47,44,39,27
2022-06-21,82,77,63,54,38,23,67,56,48,45,38,25
2022-06-22,85,79,63,52,36,23,71,57,48,44,36,25
2022-06-23,85,76,58,47,33,22,67,53,42,38,33,25
2022-06-24,79,69,50,40,28,20,63,47,37,32,29,22
2022-06-25,86,81,59,43,30,26,63,54,43,35,30,29
2022-06-26,94,90,68,54,38,29,71,65,54,45,37,34
2022-06-27,84,75,59,51,36,22,68,55,46,43,37,28
2022-06-28,84,76,60,50,35,20,69,54,46,42,37,25
2022-06-29,88,79,60,49,34,21,69,54,45,40,36,24
2022-06-30,86,74,56,45,32,20,64,51,40,37,33,24
2022-07-01,79,71,52,41,30,23,63,49,37,33,31,22
2022-07-02,90,88,62,45,32,29,69,56,44,37,32,30
2022-07-03,98,95,71,57,41,31,74,67,55,49,39,35
2022-07-04,90,80,63,53,38,24,73,57,49,46,40,29
2022-07-05,90,80,63,53,37,22,71,57,48,45,39,24
2022-07-06,91,81,63,52,37,20,73,56,47,43,38,23
2022-07-07,87,78,58,48,34,22,68,53,43,40,35,24
2022-07-08,83,72,52,40,29,19,62,47,37,33,31,21
2022-07-09,90,83,58,43,31,24,65,55,41,36,32,25
