날짜,여가_생활편의_남자_10,여가_생활편의_남자_20,여가_생활편의_남자_30,여가_생활편의_남자_40,여가_생활편의_남자_50,여가_생활편의_남자_60,여가_생활편의_여자_10,여가_생활편의_여자_20,여가_생활편의_여자_30,여가_생활편의_여자_40,여가_생활편의_여자_50,여가_생활편의_여자_60
2022-02-11,53,69,63,58,54,52,43,62,59,59,58,58
2022-02-12,52,69,65,61,59,58,45,63,61,63,63,63
2022-02-13,53,69,66,60,62,59,48,66,65,66,68,68
2022-02-14,57,71,68,60,61,60,58,69,65,62,61,63
2022-02-15,52,69,64,58,58,56,43,65,62,60,58,64
2022-02-16,47,65,61,55,58,55,40,61,58,57,57,63
2022-02-17,49,63,61,57,57,56,40,60,58,58,56,60
2022-02-18,48,65,62,59,58,54,39,58,59,59,56,59
2022-02-19,50,66,65,63,61,60,43,59,61,63,63,67
2022-02-20,46,62,66,63,63,62,44,63,66,64,63,68
2022-02-21,47,66,67,62,60,62,42,63,66,62,61,67
2022-02-22,45,62,64,59,60,56,40,59,64,61,58,63
2022-02-23,48,58,63,58,59,55,39,57,61,58,57,60
2022-02-24,46,59,60,55,56,56,41,54,60,58,56,63
2022-02-25,45,59,63,57,58,57,37,54,58,55,57,62
2022-02-26,45,61,67,63,60,64,40,55,64,61,62,69
2022-02-27,42,60,67,58,57,56,37,57,65,57,59,67
2022-02-28,41,59,66,54,52,56,35,56,61,49,54,63
2022-03-01,43,66,72,55,55,61,30,60,64,49,57,69
2022-03-02,30,54,60,45,49,51,18,52,55,36,48,61
2022-03-03,25,51,56,46,47,51,17,50,52,38,46,57
2022-03-04,28,50,56,47,47,49,18,48,52,39,48,58
2022-03-05,37,51,59,50,51,52,28,48,54,44,50,58
2022-03-06,37,51,60,48,50,55,27,50,57,43,50,58
2022-03-07,24,50,58,45,46,48,20,49,53,39,47,58
2022-03-08,25,48,55,46,46,49,20,47,52,39,47,56
2022-03-09,36,49,55,44,42,44,25,47,53,42,49,55
2022-03-10,26,49,55,45,47,48,20,46,53,40,46,54
2022-03-11,31,51,61,52,52,55,20,47,56,45,48,55
2022-03-12,40,54,65,55,57,58,28,49,61,50,55,59
2022-03-13,45,53,69,58,61,65,32,52,63,50,59,66
2022-03-14,51,54,69,55,59,63,30,51,60,45,54,64
2022-03-15,29,48,63,51,53,54,21,49,59,45,51,58
2022-03-16,31,48,62,52,52,55,19,49,58,45,50,58
2022-03-17,26,51,63,53,54,56,19,48,59,47,52,60
2022-03-18,26,50,62,54,56,58,20,48,59,48,52,62
2022-03-19,40,54,65,58,60,65,27,50,63,54,60,67
2022-03-20,38,52,66,58,59,62,27,53,65,52,58,66
2022-03-21,29,50,68,56,57,63,21,53,64,50,55,65
2022-03-22,28,51,67,56,57,61,22,52,63,51,55,63
2022-03-23,24,49,61,54,55,57,20,50,61,49,55,65
2022-03-24,25,48,59,51,53,52,19,50,61,49,53,62
2022-03-25,29,49,61,53,54,59,22,50,61,50,53,62
2022-03-26,38,52,65,58,60,61,28,52,64,56,58,65
2022-03-27,40,52,66,58,57,61,29,53,66,56,58,63
2022-03-28,27,51,68,59,61,67,22,55,67,54,57,67
2022-03-29,26,48,65,56,57,63,21,52,65,53,55,67
2022-03-30,27,51,64,55,57,63,24,55,64,54,56,67
2022-03-31,30,53,65,58,58,61,23,58,65,54,56,68
2022-04-01,36,63,72,62,61,67,24,61,69,58,59,69
2022-04-02,43,58,66,61,60,67,30,57,65,60,62,70
2022-04-03,37,55,67,60,61,69,30,58,66,57,60,71
2022-04-04,28,55,71,63,66,70,23,59,70,58,59,74
2022-04-05,27,52,69,61,62,67,20,56,68,56,58,71
2022-04-06,26,52,68,60,62,66,23,55,67,57,59,71
2022-04-07,27,51,68,61,61,70,20,55,67,60,61,71
2022-04-08,27,48,63,59,60,66,23,49,63,58,56,70
2022-04-09,36,51,61,59,57,67,29,49,61,58,59,67
2022-04-10,35,51,63,58,58,64,30,52,64,58,60,67
2022-04-11,30,53,71,64,64,67,25,56,70,58,59,70
2022-04-12,24,51,70,62,63,67,23,56,68,58,58,72
2022-04-13,29,55,70,64,64,70,24,58,70,61,63,78
2022-04-14,28,56,70,62,62,71,25,56,69,61,63,78
2022-04-15,31,58,69,64,64,69,31,61,69,65,61,73
2022-04-16,40,56,68,66,64,70,35,56,69,67,65,75
2022-04-17,42,56,71,67,67,74,36,60,73,68,65,78
2022-04-18,27,56,78,73,72,80,32,63,80,72,69,82
2022-04-19,27,52,73,71,70,78,27,60,77,70,68,79
2022-04-20,29,52,71,66,66,70,29,58,76,69,66,78
2022-04-21,31,52,68,65,67,73,28,57,73,67,67,75
2022-04-22,31,51,67,65,63,71,30,57,71,68,66,77
2022-04-23,41,54,67,66,66,72,36,57,70,69,69,75
2022-04-24,41,55,73,71,71,76,39,63,78,75,73,83
2022-04-25,36,59,80,75,75,82,36,70,86,77,72,85
2022-04-26,36,61,81,76,74,84,36,71,88,79,77,88
2022-04-27,40,59,76,71,71,73,39,68,83,76,72,82
2022-04-28,47,59,73,70,71,74,42,68,80,75,73,82
2022-04-29,52,56,69,69,67,74,55,64,76,74,71,83
2022-04-30,66,63,71,71,70,72,69,66,77,78,76,82
2022-05-01,60,73,85,78,72,78,63,80,91,85,79,85
2022-05-02,48,70,89,84,81,82,53,82,100,89,81,89
2022-05-03,49,72,87,83,77,80,55,83,95,89,80,88
2022-05-04,63,77,89,86,80,78,67,79,91,90,81,85
2022-05-05,82,78,86,89,82,79,84,79,88,93,88,93
2022-05-06,71,71,83,78,78,75,69,77,85,83,78,85
2022-05-07,52,67,75,68,68,70,55,70,75,72,72,82
2022-05-08,59,70,79,70,69,79,51,75,81,72,75,93
2022-05-09,36,62,80,73,72,72,34,71,83,71,71,86
2022-05-10,32,65,76,68,66,65,32,75,79,68,67,73
2022-05-11,28,62,74,67,69,73,32,73,78,69,69,81
2022-05-12,33,63,73,64,64,71,33,69,73,67,66,77
2022-05-13,39,62,68,62,62,71,33,67,72,66,67,81
2022-05-14,48,66,74,67,66,76,43,69,72,70,71,84
2022-05-15,46,67,75,68,67,77,39,73,79,72,72,84
2022-05-16,33,67,82,74,74,80,31,75,84,72,74,85
2022-05-17,30,66,79,72,74,79,29,72,80,71,69,84
2022-05-18,29,65,77,69,71,76,30,71,77,68,69,81
2022-05-19,33,67,76,67,68,76,29,71,76,67,68,78
2022-05-20,34,68,77,68,67,70,34,70,74,66,66,78
2022-05-21,48,74,80,71,69,71,40,71,75,71,72,79
2022-05-22,50,74,85,74,73,79,41,79,80,73,75,86
2022-05-23,34,68,88,79,76,77,34,78,87,76,72,85
2022-05-24,36,68,85,77,74,74,30,75,84,74,72,82
2022-05-25,33,62,79,71,70,73,31,70,78,69,68,79
2022-05-26,32,64,76,70,70,75,30,69,76,68,67,78
2022-05-27,37,66,75,69,70,73,38,69,73,67,66,74
2022-05-28,50,72,79,71,68,74,46,72,73,71,68,75
2022-05-29,47,71,84,77,75,78,44,78,81,76,73,83
2022-05-30,37,71,90,83,80,85,36,80,89,79,72,83
2022-05-31,40,71,88,82,80,80,41,76,86,81,74,80
2022-06-01,53,85,97,89,82,75,43,83,92,91,80,84
2022-06-02,37,74,91,87,85,81,36,85,94,90,81,88
2022-06-03,40,76,96,96,92,94,37,84,96,94,84,92
2022-06-04,53,87,100,100,100,100,49,87,94,100,100,100
2022-06-05,57,75,90,86,86,91,50,81,87,88,84,93
2022-06-06,45,70,84,78,80,81,41,77,84,79,79,93
2022-06-07,36,69,87,78,77,82,32,78,87,78,72,81
2022-06-08,31,68,82,75,72,79,31,73,81,73,70,83
2022-06-09,29,62,77,71,71,75,22,68,77,71,68,76
2022-06-10,33,63,71,67,68,73,33,66,72,66,65,76
2022-06-11,44,66,72,68,69,76,38,67,71,68,68,74
2022-06-12,50,68,81,74,74,81,36,73,79,73,73,83
2022-06-13,35,69,85,77,76,82,33,76,83,72,72,81
2022-06-14,36,66,77,71,72,77,29,73,78,69,70,77
2022-06-15,36,67,76,69,67,74,32,71,74,66,67,79
2022-06-16,36,66,74,67,69,73,32,72,72,64,65,75
2022-06-17,36,66,75,67,67,71,32,74,72,63,64,73
2022-06-18,46,71,73,67,66,71,33,70,68,65,67,74
2022-06-19,50,73,80,71,71,75,41,79,77,71,70,79
2022-06-20,37,77,88,79,78,81,37,85,86,75,72,77
2022-06-21,34,75,81,73,75,74,33,82,81,72,69,73
2022-06-22,37,75,77,69,69,72,34,80,76,66,65,71
2022-06-23,37,69,72,64,65,70,34,75,71,64,62,68
2022-06-24,41,69,73,64,64,66,34,73,70,62,60,68
2022-06-25,50,75,75,68,66,68,37,75,72,68,67,69
2022-06-26,52,80,83,73,70,72,44,85,79,72,70,75
2022-06-27,41,81,89,77,77,75,41,91,84,72,67,78
2022-06-28,38,79,83,74,71,72,36,88,81,69,66,72
2022-06-29,41,75,79,72,71,74,34,82,78,68,66,73
2022-06-30,54,76,79,70,68,71,41,83,77,68,66,71
2022-07-01,65,85,87,78,74,75,49,87,84,77,71,75
2022-07-02,67,82,85,78,76,73,55,83,81,78,74,74
2022-07-03,66,89,93,84,81,77,58,96,91,85,80,80
2022-07-04,54,93,100,91,89,81,60,100,95,85,79,79
2022-07-05,50,88,93,83,82,76,52,96,88,81,74,77
2022-07-06,50,88,90,80,81,78,49,91,86,78,72,75
2022-07-07,55,81,85,76,78,73,49,85,81,75,71,71
2022-07-08,55,76,80,75,73,69,51,80,76,73,68,70
2022-07-09,60,82,81,74,74,71,57,79,76,74,72,74
