네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
패션의류
패션잡화
화장품/미용
조회기간 : 2022.06.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 30대

"날짜","패션의류","패션잡화","화장품/미용"
"2021-12-19",76,71,13
"2021-12-20",60,61,13
"2021-12-21",48,49,11
"2021-12-22",49,50,12
"2021-12-23",49,51,11
"2021-12-24",43,46,9
"2021-12-25",55,55,10
"2021-12-26",74,67,12
"2021-12-27",68,65,13
"2021-12-28",61,60,13
"2021-12-29",56,56,12
"2021-12-30",52,52,11
"2021-12-31",46,48,10
"2022-01-01",53,55,11
"2022-01-02",67,67,14
"2022-01-03",59,61,15
"2022-01-04",55,59,14
"2022-01-05",54,56,14
"2022-01-06",49,51,13
"2022-01-07",43,48,11
"2022-01-08",50,53,11
"2022-01-09",62,63,13
"2022-01-10",53,57,14
"2022-01-11",53,56,14
"2022-01-12",51,55,14
"2022-01-13",49,54,13
"2022-01-14",42,47,11
"2022-01-15",48,53,11
"2022-01-16",61,65,13
"2022-01-17",52,58,14
"2022-01-18",48,54,13
"2022-01-19",47,52,13
"2022-01-20",44,49,12
"2022-01-21",39,45,11
"2022-01-22",44,51,10
"2022-01-23",57,61,13
"2022-01-24",46,53,13
"2022-01-25",43,49,12
"2022-01-26",39,46,11
"2022-01-27",34,40,9
"2022-01-28",31,38,8
"2022-01-29",37,44,8
"2022-01-30",41,47,9
"2022-01-31",41,49,9
"2022-02-01",42,49,11
"2022-02-02",51,58,13
"2022-02-03",47,56,14
"2022-02-04",42,50,13
"2022-02-05",48,55,12
"2022-02-06",56,63,14
"2022-02-07",47,55,15
"2022-02-08",45,53,14
"2022-02-09",43,52,13
"2022-02-10",40,48,12
"2022-02-11",37,45,11
"2022-02-12",42,50,10
"2022-02-13",54,60,13
"2022-02-14",45,55,13
"2022-02-15",44,51,12
"2022-02-16",41,49,12
"2022-02-17",39,46,12
"2022-02-18",36,43,10
"2022-02-19",42,49,10
"2022-02-20",53,59,12
"2022-02-21",45,54,13
"2022-02-22",42,50,12
"2022-02-23",42,49,12
"2022-02-24",37,45,11
"2022-02-25",35,42,10
"2022-02-26",42,50,10
"2022-02-27",52,59,12
"2022-02-28",44,52,12
