네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
패션의류
패션잡화
화장품/미용
조회기간 : 2022.06.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 60대이상

"날짜","패션의류","패션잡화","화장품/미용"
"2021-11-01",78,64,20
"2021-11-02",80,62,18
"2021-11-03",75,58,17
"2021-11-04",74,59,17
"2021-11-05",72,53,14
"2021-11-06",73,61,14
"2021-11-07",81,67,16
"2021-11-08",88,69,19
"2021-11-09",90,68,17
"2021-11-10",92,66,17
"2021-11-11",89,65,17
"2021-11-12",79,61,15
"2021-11-13",79,58,13
"2021-11-14",80,59,15
"2021-11-15",73,57,16
"2021-11-16",70,56,15
"2021-11-17",68,54,15
"2021-11-18",71,55,14
"2021-11-19",74,62,15
"2021-11-20",80,63,15
"2021-11-21",85,71,18
"2021-11-22",90,68,18
"2021-11-23",95,72,17
"2021-11-24",88,67,18
"2021-11-25",81,65,18
"2021-11-26",78,63,16
"2021-11-27",80,64,16
"2021-11-28",94,74,18
"2021-11-29",82,65,19
"2021-11-30",86,73,18
"2021-12-01",94,75,19
"2021-12-02",87,71,19
"2021-12-03",83,68,17
"2021-12-04",95,73,18
"2021-12-05",100,79,22
"2021-12-06",83,68,24
"2021-12-07",80,68,21
"2021-12-08",80,70,22
"2021-12-09",77,66,20
"2021-12-10",70,64,17
"2021-12-11",79,68,18
"2021-12-12",90,75,20
"2021-12-13",84,75,21
"2021-12-14",76,68,19
"2021-12-15",75,69,20
"2021-12-16",73,66,19
"2021-12-17",73,67,17
"2021-12-18",82,76,18
"2021-12-19",87,80,20
"2021-12-20",67,65,19
"2021-12-21",58,59,18
"2021-12-22",63,59,19
"2021-12-23",62,65,19
"2021-12-24",61,59,16
"2021-12-25",78,76,18
"2021-12-26",87,81,20
"2021-12-27",74,72,21
"2021-12-28",68,68,20
"2021-12-29",65,67,20
"2021-12-30",66,65,19
"2021-12-31",59,58,16
"2022-01-01",78,78,20
"2022-01-02",86,84,24
"2022-01-03",72,73,23
"2022-01-04",73,75,25
"2022-01-05",71,70,24
"2022-01-06",67,68,24
"2022-01-07",69,68,22
"2022-01-08",75,74,24
"2022-01-09",80,78,26
"2022-01-10",68,72,24
"2022-01-11",72,73,24
"2022-01-12",71,73,26
"2022-01-13",71,70,24
"2022-01-14",66,66,23
"2022-01-15",72,73,25
"2022-01-16",77,80,25
"2022-01-17",66,70,24
"2022-01-18",65,69,24
"2022-01-19",63,67,24
"2022-01-20",62,66,23
"2022-01-21",57,59,22
"2022-01-22",62,69,23
"2022-01-23",71,71,25
"2022-01-24",58,62,24
"2022-01-25",58,61,23
"2022-01-26",52,54,21
"2022-01-27",49,53,19
"2022-01-28",47,53,17
"2022-01-29",56,59,19
"2022-01-30",56,62,18
"2022-01-31",51,61,17
"2022-02-01",54,60,19
"2022-02-02",62,71,24
"2022-02-03",58,65,25
"2022-02-04",59,65,26
"2022-02-05",67,70,25
"2022-02-06",71,74,26
"2022-02-07",57,65,26
"2022-02-08",57,65,25
"2022-02-09",59,63,24
"2022-02-10",56,59,22
"2022-02-11",54,59,22
"2022-02-12",61,64,21
"2022-02-13",67,67,24
"2022-02-14",55,62,22
"2022-02-15",59,63,23
"2022-02-16",58,63,23
"2022-02-17",56,61,22
"2022-02-18",55,58,22
"2022-02-19",60,66,23
"2022-02-20",69,72,26
"2022-02-21",56,64,24
"2022-02-22",56,61,23
"2022-02-23",59,65,24
"2022-02-24",59,61,23
"2022-02-25",56,61,21
"2022-02-26",63,67,21
"2022-02-27",64,68,23
"2022-02-28",55,61,21
"2022-03-01",67,71,24
"2022-03-02",56,61,22
"2022-03-03",56,59,20
"2022-03-04",56,62,19
"2022-03-05",65,67,20
"2022-03-06",69,76,22
"2022-03-07",57,63,22
"2022-03-08",57,60,19
"2022-03-09",61,65,19
"2022-03-10",52,54,18
"2022-03-11",62,62,19
"2022-03-12",70,71,19
"2022-03-13",84,80,22
"2022-03-14",67,70,22
"2022-03-15",64,65,19
"2022-03-16",65,67,20
"2022-03-17",68,69,20
"2022-03-18",66,68,19
"2022-03-19",73,77,21
"2022-03-20",67,74,22
"2022-03-21",60,67,20
"2022-03-22",61,65,21
"2022-03-23",63,66,20
"2022-03-24",62,62,20
"2022-03-25",60,62,19
"2022-03-26",72,73,20
"2022-03-27",70,73,21
"2022-03-28",63,69,21
